Tier,1,2,3,4,5,6,7
Dealer Style,Micro Used Lot,Small Independent Used Lot,Certified Pre-Owned Lot (or Large Independent Used Lot),Single Franchise Dealer,High Volume Franchise Dealer,Multi Franchise Dealer (or Dealer Group?),Dealer Group (or High Volume Dealer Group?)
Lot size,6,12,35,75,120,Multi Location,Multi Location
Facilities,"Lot/Sales department (recon only service department, no profit arm yet)","Adds Service department with single service advisor slot. User has managerial choices (willingness to upcharge vs being more fair, general price gates, services provided maybe?",Adds a body shop that mirrors the mechanics of the service department but mapped to a collision or body shop engine. User has similar mechanics as before. Also Adds F&I department to dealership,"Adds a ""new car"" department with inventory sourcing via OEM (invoice MSRP/incentives?) (existing sales department is labeled as ""used car"" or ""pre-owned"" department","Adds a ""BDC"" / marketing deparment that can generate leads. Leads properly handled can be ""appointments"" injected into coming days as guaranteed customers with higher likilhood to close/profit",Previous tier was the last of added facilities. from here it is a matter of adding a new dealership as you can for scaling,
Staff,1 Salesperson,"2 Salespeople, 1 Service advisor (sims service side profit engine)","3 Sales People, 1 UCM, 1 F&I mgr, 1 Service Advisor, 1 body shop advisor (sims body shop income engine)","6 Sales People, 1 UCM, 1 SM (sales manager), 2 Body Shop Advisor, 2 Service Advisors","10 Sales People, 1 UCM, 1 SM, 2 Bodyshop Advisor, 2 Svc advisors, 1 Bodyshop & Service Manager, 1 BDC manager","Fully staffed store from previous tier unlocks a GM (General Manager) position. On hire, user can have ALL previous user interactions automated (relative to GM skill/experience/level?) which then unlocks the ability to purchase new franchise rights if requirements are met. This would be treated as creating a whole new dealership/store.","IF this is even a tier, the previous tier would essentially be only a ""second"" franchise. once a second franchise is fully setup & the users dealer group meets upgrade requirements, then this tier is technically unlocked which allows any number of new franchises so long as you meet requirements & have the funds (could start to work towards extremely high end brands if the user wanted, etc)"
User loop,"User has to source their own inventory (outside of simulated trades) and learn heuristics of profitable auction options / pricing / trade parameters. User starts new day to see the floor sim act out, with periodic escalations for discounts/trades that your salesperson cant close. Service is limited to JUST inspection/recon on each piece. More susceptible to service bill surprises relative to condition report. inspection on auction pieces gives user a chance for more context.","Building on last tier, same mechanics exist and a second salesperson will allow for more potential transactions. User gameplay loop is still building funds, building inventory, tweaking prices, etc etc. Service department is activated when a service advisor is hired. User input is managerial service decisions and seeing what impact that makes day to day","Scale of inventory & goals for next tier should have user more focused on pricing heuristics, keeping track of price drift, making sure inventory is priced appropriately etc, staff training, and keeping track of what impacts in the service and bodyshop engine impact profits. Should be slighlty faster paced profit between the service/body shop passive profit & expanded lot scale","new car OEM is a whole new mechanic, sourcing vehicles through ""ordering"" on OEM credit? open to engaging mechanics here. Month to month or week to week manufacturer incentives and/or goals that forces the user to make managerial choices between sacrificing gross for quantity, sacrificing kpi for profit, vice versa, etc. just some examples not finalized finished idea. ","New BDC mechanic creates new user interaction at this tier, marketing, ad campaigns, lead generation, appointment system etc. Still very simulated, but HITL interactions throughout at a managerial level (what campaigns, how long, etc etc.). Bodyshop & Service manager is one NPC and im not sold on it being a thing but this may automate certain service/bodyshop features if there are any worth simulating (department settings with user override? no idea just a thought)",User continues investing built up funds in new franchises (new dealership locations) and quickly  invests in facilities / higher quality staff to scale up profit//growth. Gameplay reward is more about exponential growth and becoming a multimillion dollar dealer group,"Userloop is continuing gameplay in ""sandbox"" essentially looking to get the company as big/profitable as possible? Maybe"
Simulated Tasks,Sales process outside of escalations,"Sales process outside of escalations, service profit system","UCM now simulates ""trade exceptions"" & sourcing of auction/wholesale vehicles relative to their skill. Better the skill, the better the inventory is that is sourced (on average). Bodyshop profit system is simulated and mirrors the service system","New  ""SM"" position now automates the second and last sales exception on discounts (without being stupid. risky choices can be made but mathematically absurd situations need not be involved). SM also simulates setting prices & keeping them accurate relative to users aggressive/conservative settings. User can always overwrite prices but now no longer needs to keep track constanlty freeing them up to watching profit trends/customer feedback/market feedback/the new OEM mechanics at this tier)",BDC lead system will be an automated mechanic although user interaction can lead to different results,"When GM is hired at fully staffed High Volume Franchise Dealer (that has met all requirements from previous tier), ALL user interactions become simulated relative to that GMs skill/level/experience. New franchise dealers continue the gameplay loop and user interaction as it always has",SImilar/same as before
Requirements to upgrade,,,,,,,
Monthly Sales Units to Upgrade,10,25,50,90,175,400,1000
Reputation/CSI/KPI Requirement to upgrade,65,75,Dependent on preferred franchise requirement,= franchise requirement + 10% or something like this?,Dependent on preferred franchise requirement,Dependent on preferred franchise requirement,Dependent on preferred franchise requirement
Total Capital to upgrade,75000,150000,300000,750000,1500000,5000000,25000000
Cash cost (out of balance) to upgrade,25000,75000,Dependent on preferred franchise requirement,250000,500000,Dependent on preferred franchise requirement,Dependent on preferred franchise requirement
Facilities required to upgrade,N/A,Service Department,Service Department & Body shop,Service Department & Body shop,Service Department & Body shop,Service Department & Body shop at each store before opening a new one,Service Department & Body shop at each store before opening a new one
Facility perfomance requirements to upgrade,N/A,Service profit (not sure thresholds yet),Service & bodyshop profit required (still not sure of thresholds),OEM unit goals need met for X amount of time,Higher tier OEM unit goals need met for X amount of time,Same as last tier,same as last tier
Staff required to upgrade,N/A (only one available at this level),2 sales + service,All staff slots,All staff slots,All staff slots,All staff + GM at two separate stores (two fully automated),Sandbox
Time to upgrade? (construction time? Idk if necessary),,,,,,,
